phrase1, phrase2, phrase3, phrase4, phrase5, phrase6, phrase7, phrase8, phrase9, phrase10, phrase11, phrase12, phrase13, phrase14, phrase15, phrase16, phrase17, phrase18, phrase19, phrase20, phrase21, phrase22, phrase23, phrase24, phrase25, phrase26, phrase27, phrase28, phrase29, phrase30, symptom
"I’ve been sweating a lot even when I’m not doing anything","My body sweats excessively throughout the day","I wake up drenched in sweat during the night","I sweat a lot after even mild physical activity","My hands and feet are constantly sweaty","I find myself sweating even in cool environments","I sweat heavily without reason","I feel like I'm sweating too much lately","I get sweaty palms and feet all the time","Sweating is more than usual for me these days","I notice a lot of sweat on my face and back","I sweat even when I'm just sitting still","I often feel sweaty even though the temperature is normal","I feel like I'm constantly dripping sweat","My sweat seems to be pouring out all the time","I experience hot flashes and excessive sweating","I feel drenched in sweat after walking for a few minutes","I’m sweating so much that my clothes are soaked","Sweating has increased without any obvious cause","I’ve noticed sweat in places I didn’t before","I start sweating after doing the smallest tasks","I’m sweating more than usual and it’s uncomfortable","Sweating happens unexpectedly during the day","Even at rest, I can feel sweat all over my body","I find myself sweating excessively during the night","I feel drenched in sweat all day","Sweating has been constant and unexplainable","I'm sweating a lot, even when I'm not doing anything strenuous.","I feel drenched in sweat for no reason.","I keep sweating heavily, especially at night.","sweating"
"I feel extremely thirsty all the time","I’ve been drinking more water but still feel dehydrated","My mouth feels dry and I can’t seem to get enough water","I’m constantly thirsty and it doesn't seem to go away","Even though I drink a lot, I still feel parched","I’ve been feeling really thirsty for no reason","I’m drinking a lot but still feel dehydrated","I get a dry mouth that doesn't go away","I’m drinking water but it doesn’t seem to hydrate me","I feel parched even after drinking fluids","My body feels dry and I can’t get enough to drink","I feel like I’m always in need of water","I’ve been feeling more thirsty than usual","I feel a constant dry feeling in my throat","My skin feels dry and I’m always thirsty","I feel thirsty no matter how much water I drink","I’ve been experiencing dry mouth and excessive thirst","I’m constantly looking for something to drink","Even after drinking, I feel dehydrated","I feel like I need more water than I’m getting","I feel thirsty even after drinking large amounts of fluids","I can’t seem to quench my thirst no matter what I drink","My throat feels dry even after drinking","I feel like I’m always dehydrated even with fluids","I’m frequently thirsty and my mouth is dry","I’ve been feeling thirsty all the time without relief","I'm feeling extremely thirsty and my skin feels dry.","I am experiencing dehydration and feel weak.","My mouth is dry and I'm constantly thirsty.","I feel dehydrated and have dry skin.","dehydration"
"I feel uncomfortable after eating","I have a bloated feeling in my stomach","I feel like the food is stuck in my chest","My stomach feels full and heavy after eating","I experience discomfort and fullness after meals","I get a burning sensation in my stomach after eating","I often feel like I’ve overeaten, even when I haven’t","I feel nauseous after eating","I often burp after meals and feel discomfort","My stomach feels upset after eating","I feel bloated and gassy after meals","I get heartburn and indigestion after meals","I feel like food doesn’t sit well in my stomach","I feel nauseous and uncomfortable after eating","I get a sour taste in my mouth after eating","I often feel heaviness in my stomach","My stomach feels uneasy after I eat","I feel discomfort in my stomach after meals","I get stomach cramps and indigestion","I feel like my digestion is slow after meals","I have trouble digesting food, even when I eat lightly","I feel sluggish and bloated after eating","I often experience indigestion after eating","I have frequent heartburn after meals","I feel uncomfortably full and bloated after eating","My stomach feels bloated and uncomfortable after eating.","I'm having trouble digesting food and feel uncomfortable.","I feel a heaviness in my stomach after meals.","My digestion feels slow and painful.","I'm experiencing indigestion and discomfort in my stomach.","indigestion"
"I have a constant dull headache","My head feels heavy and tight","I often experience sharp pain in my head","I feel a throbbing pain in my temples","My head aches from time to time during the day","I feel pressure building in my head","I get tension headaches that last for hours","I have a pounding headache in the morning","My headache feels worse with bright lights","I feel a constant ache in my forehead","I experience a sharp headache on one side of my head","I have migraines that come and go","I feel a pressure in my skull like it's squeezing","I feel like my head is being squeezed","I often experience a headache with nausea","I feel dizzy along with my headache","I get headaches when I'm stressed","I feel a sharp pain behind my eyes","I have headaches that worsen with physical activity","I feel a dull ache in the back of my head","I get headaches when I don't sleep well","I have a headache that’s accompanied by a stiff neck","I get tension headaches when I'm concentrating","My head hurts when I look at screens too long","I feel a tightness around my scalp","I have a constant throbbing headache that's hard to ignore.","My head is pounding and I can't concentrate.","I feel a sharp pain in my head that's worsening.","I have a headache that makes it hard to function.","My head feels heavy and painful, making it hard to think clearly.","headache"
"My skin has a yellowish tint","I noticed my skin turning yellow","My skin has a pale yellow color","I feel like my skin has become yellowish","There’s a yellowish hue on my skin","My skin looks yellow in certain lights","I have a yellowish appearance to my skin","I’ve noticed a yellow tint on my skin","The color of my skin has changed to yellowish","I’ve been feeling like my skin looks jaundiced","My skin has a yellowish undertone","There is a yellowish cast on my skin","I feel like my skin is turning yellow","I noticed a yellowish discoloration on my skin","My skin has been looking yellow lately","The yellowish color of my skin is noticeable","I feel like my skin tone has become more yellow","I’ve noticed a yellowish appearance around my face","I have a yellowish skin tone in the morning","I get a yellowish tint on my skin after being in the sun","I feel like my skin has yellowed over the last few days","My skin’s color has shifted to yellowish","There is a yellowish shade on my skin that wasn't there before","My skin looks jaundiced under bright light","I’ve been seeing a yellowish tint on my skin","My skin has turned slightly yellowish in color.","I have a yellowish tint to my skin that's noticeable.","The color of my skin looks yellowish and unhealthy.","My skin has a yellowish hue, especially on my face.","I noticed my skin turning yellow, which is concerning.","yellowish_skin"
"My urine looks darker than usual","I noticed my urine is darker","The color of my urine has changed to dark","My urine appears darker in the morning","I’ve been passing dark-colored urine","My urine has a darker tint lately","I feel like my urine is darker than normal","My urine has been darker than usual for a few days","I noticed a dark color in my urine today","The urine I passed today was dark","I’ve been urinating dark-colored liquid","My urine has a brownish tint","I noticed dark urine after drinking less water","I’ve been passing urine that looks darker than normal","My urine has been unusually dark","I’ve observed that my urine is darker these days","The urine I pass seems to have a darker shade","I’ve been experiencing dark-colored urine","I feel like my urine has gotten darker recently","I passed darker urine today than I typically do","I’ve noticed my urine looks almost brown","My urine looks dark brown in color","The color of my urine seems darker every time","I’ve noticed a persistent dark color in my urine","I feel like my urine is darker than usual lately","My urine is darker than usual, almost brown in color.","I noticed that my urine has a dark yellowish tint.","My urine is unusually dark and has an odd color.","I have dark-colored urine, which is concerning.","The color of my urine has changed to a dark brownish shade.","dark_urine"
"I feel like I might throw up","I’m experiencing a nauseous feeling","My stomach feels uneasy","I feel nauseous all of a sudden","I’m feeling a bit queasy","I feel like vomiting","There’s a constant feeling of nausea in my stomach","I’ve been feeling nauseous today","I have a nauseous sensation in my stomach","I feel a bit sick to my stomach","My stomach is unsettled and I feel nauseous","I feel like I’m going to vomit","I’ve been feeling queasy for a while now","I can’t shake this nauseous feeling","I’ve been experiencing nausea all morning","Nausea has been bothering me today","I feel sick and want to vomit","My stomach feels like it’s turning","I have an ongoing sensation of nausea","I’m feeling nauseated with no relief","My stomach is uneasy, and I feel like vomiting","I’ve been feeling nauseous for a few hours now","Nausea has been persistent throughout the day","I’ve been struggling with nausea today","I feel a constant urge to vomit","I’m experiencing nausea with no clear cause","I'm feeling nauseous and like I might throw up.","I have an uneasy stomach and feel nauseous.","I keep feeling waves of nausea throughout the day.","I'm experiencing nausea and it's making it hard to focus.","nausea"
"I don't feel like eating","I have no appetite at all","I’m not hungry anymore","I can’t seem to eat anything","I feel like I’m losing my appetite","Food doesn't seem appealing to me","I have no desire to eat anything","I’ve been avoiding food lately","I can’t bring myself to eat anything","I’ve noticed a decrease in my appetite","I’ve had no interest in food for a while","My appetite has completely disappeared","I feel no hunger","I haven’t been able to eat much recently","I don’t have an appetite to eat","I’m just not hungry anymore","I have no urge to eat","I can’t eat as much as I used to","Food doesn’t sound good to me","I feel no need to eat anything","I’ve lost all interest in food","I feel like I’m not able to eat","Eating feels like a chore now","I don’t want to eat anything","I have little to no appetite","I feel like I’m not hungry at all","I've completely lost my appetite and don't feel like eating.","I have no desire to eat anything at all.","I feel like my hunger is completely gone.","I can't bring myself to eat because I have no appetite.","loss_of_appetite"
"My eyes hurt","I feel pain behind my eyes","There’s a sharp pain behind my eyes","I’m experiencing discomfort behind my eyes","I have a throbbing pain behind my eyes","It feels like something is pushing behind my eyes","My eyes feel sore","I feel a constant ache behind my eyes","There’s a deep pain behind my eyes","I can feel pressure behind my eyes","My eyes hurt when I move them","There’s a dull pain behind my eyes","My eyes are aching constantly","I feel pain in the area behind my eyes","I have a nagging pain behind my eyes","I feel discomfort when I try to focus","It hurts behind my eyes when I look at bright lights","I can feel a dull throb behind my eyes","There’s a sharp sensation behind my eyes","My vision is blurry because of the pain behind my eyes","I feel like there’s a weight behind my eyes","The pain behind my eyes is making it hard to focus","I can’t seem to shake the pain behind my eyes","I have a constant pressure behind my eyes","The pain behind my eyes is getting worse","I feel a sharp pain behind my eyes when I move","I feel a sharp pain behind my eyes that won't go away.","There's a dull ache behind my eyes that keeps intensifying.","I'm experiencing pressure and pain behind my eyes.","Pain behind my eyes makes it hard to concentrate.","pain_behind_the_eyes"
"My back hurts","I’m experiencing pain in my back","I feel discomfort in my lower back","There’s a dull ache in my back","I have a sharp pain in my back","My back is sore","I feel a constant pain in my back","I have a stiff feeling in my back","The pain in my back is radiating","I can’t move properly because of the pain in my back","I have trouble bending because of back pain","I feel tension in my back","There’s a burning sensation in my back","The pain in my back feels sharp","My back feels stiff and painful","I have lower back pain that doesn’t go away","I feel a heavy pain in my back","The pain in my back is limiting my movement","I have discomfort in my upper back","I feel pain when I sit for too long","I have trouble sleeping because of the pain in my back","My back pain is worse when I stand","The pain in my back is constant","I feel soreness in my back after physical activity","I have back pain that comes and goes","I feel pressure in my back","I've been dealing with constant pain in my lower back.","My back hurts when I stand or sit for too long.","I'm having a persistent ache in my back that doesn't go away.","I feel a lot of discomfort and pain in my back.","back_pain"
"I haven’t been able to pass stool for days","I feel bloated and constipated","I’m experiencing difficulty in passing stool","There’s a feeling of fullness due to constipation","I haven’t been able to go to the bathroom regularly","I feel uncomfortable due to constipation","I’m having less frequent bowel movements","My stomach feels heavy because of constipation","I feel pain while trying to pass stool","It’s been hard to move my bowels lately","I feel a constant pressure in my stomach due to constipation","I’m struggling with constipation","I feel constipated even after eating","My stomach feels swollen and tight","I’ve been having difficulty passing stool for a while","There’s an urge to go but no results","I have a feeling of incomplete evacuation","I feel like I need to strain to pass stool","I feel uncomfortable because of constipation","I’m having dry stools and difficulty passing them","I’ve been feeling sluggish due to constipation","I feel bloated and full because I can’t go to the bathroom","I’m experiencing a lack of bowel movements","There’s a buildup of waste in my stomach","I have a sensation of being backed up inside","I’m experiencing a slow digestive system","I feel like my digestive system is sluggish","I've been struggling with constipation for the past few days.","I haven't been able to pass stool easily, and it's causing discomfort.","I feel bloated and constipated.","constipation"
"I’m feeling pain in my stomach","My abdomen hurts when I move","I feel sharp pains in my stomach","I have discomfort in my abdominal area","There’s a dull ache in my abdomen","My stomach feels tender to touch","I’m experiencing cramps in my stomach","I have a throbbing pain in my abdomen","The pain in my stomach feels constant","I feel bloated and painful in my stomach area","My abdominal pain intensifies after eating","I have a sharp pain in my lower abdomen","There’s a constant ache in my abdominal region","I’m having a burning sensation in my stomach","I feel like my stomach is twisted with pain","I’m experiencing a deep pain in my abdominal area","I have pressure and pain in my abdomen","The pain in my abdomen feels like cramps","I’m dealing with intense stomach pain","I feel nauseous because of the abdominal pain","I have a stabbing pain in my abdominal region","The pain in my stomach is making me feel uncomfortable","My stomach hurts more when I lie down","I’m feeling bloated and it hurts in my stomach","I feel constant discomfort in my abdominal area","I’m experiencing pain in my stomach that won’t go away","I'm experiencing sharp abdominal pain in the lower stomach.","There's a constant aching pain in my abdomen.","I’ve been feeling sharp abdominal pain that comes and goes.","There’s a constant ache in my stomach area that’s been bothering me.","abdominal_pain"
"I’ve been having loose stools all day","I feel like I need to go to the bathroom frequently","I’m experiencing watery stools","I’ve had diarrhea for the past few hours","My stomach is upset, and I keep running to the bathroom","I feel the urge to go to the toilet urgently","I’m passing loose stools more than usual","I’ve been having stomach cramps and diarrhea","My stomach feels unsettled and I have diarrhea","I can’t seem to control my bowel movements","I’ve had multiple bouts of diarrhea today","My stomach pain and diarrhea have been constant","I’ve been feeling weak from frequent diarrhea","I feel dehydrated from all the diarrhea","I keep having diarrhea, it’s exhausting","I’ve been to the bathroom several times today because of diarrhea","The diarrhea is making me feel lightheaded","I’m losing a lot of fluids because of the diarrhea","I’m feeling discomfort from the cramps and diarrhea","I’ve had diarrhea after eating anything","My stomach hurts, and I keep having diarrhea","The diarrhea is making me feel bloated","I’m having diarrhea with a lot of gas","I’m feeling unwell and can’t stop having diarrhea","I feel weak and nauseous with the diarrhea","The diarrhea won’t stop, and it’s making me feel drained","I've been dealing with frequent diarrhea and it's exhausting.","My stomach feels unsettled, and I'm having diarrhea.","I’ve been experiencing frequent, watery stools all day.","My stomach feels upset, and I’ve had diarrhea multiple times.","diarrhoea"
"I have a low-grade fever","I’m feeling a bit warm, but not too bad","My temperature is slightly elevated","I’m experiencing mild fever symptoms","I feel warm, but it’s not too intense","I’ve been running a mild fever for a few hours","I feel like I have a slight fever","My body feels warm, but it’s not high fever","I’m experiencing a mild rise in temperature","I’ve had a slight fever all day","I feel warm, but not feverish","I’m having a mild fever, nothing serious","I feel a little hot but nothing too extreme","I’m running a slight fever and feeling uncomfortable","My body temperature is just a bit above normal","I’m experiencing mild fever and chills","I have a low-grade fever that comes and goes","I’ve been feeling a bit feverish but it’s not severe","I feel a little bit warm but not to the point of concern","I’m having a mild fever with no other symptoms","I have a slight fever but I’m still able to function","My fever is mild, I’m just a little uncomfortable","I feel a bit feverish but it’s not lasting","I’m dealing with a mild fever but I’m managing","My fever is mild, and I’m trying to rest","I have a mild fever and I'm feeling a bit warm.","My body temperature is slightly elevated, causing discomfort.","I've been running a mild fever for the last few hours.","I feel feverish, but it's not too high.","There's a slight fever with chills.","mild_fever"
"My urine is a bright yellow color","I noticed my urine is quite yellow today","The color of my urine is yellow","I’ve been passing yellow urine for the last few hours","My urine has a yellow tint","I’m noticing yellow urine more than usual","My urine is yellow and looks unusual","I’ve been urinating bright yellow liquid","I feel like my urine is a deeper yellow today","My urine is yellow and it’s a bit concerning","I’ve seen yellow urine this morning","I passed yellow urine after drinking a lot of water","The yellow color in my urine is pretty noticeable","I’m passing more yellow-colored urine","My urine looks like a pale yellow color","I noticed that my urine is yellow and smells different","I’m urinating yellow liquid that looks strange","My urine looks yellow and not clear","I’ve been having yellow urine today, not sure why","I’ve been passing dark yellow urine lately","My urine has a strong yellow color to it","My urine is yellow and it’s happening frequently","I’ve noticed yellow urine when I wake up","My urine is still yellow after drinking plenty of fluids","My urine looks darker and yellow in color.","I've noticed my urine is yellow and it seems different from usual.","There’s a yellow tint to my urine, more noticeable than normal.","I’ve been passing yellow-colored urine recently.","My urine has been yellow and it seems a bit strange.","The color of my urine is noticeably yellow.","yellow_urine"
"My eyes have turned a yellowish color","I’ve noticed a yellow tint in my eyes","The whites of my eyes are looking yellow","My eyes are yellowing","I see a yellowish hue in my eyes","My eyes have become slightly yellow today","There’s a yellow discoloration in my eyes","My eyes are turning yellow after waking up","I feel like my eyes are more yellow than usual","I’ve noticed the yellowing of my eyes","I can see a yellow shade in my eyes when I look in the mirror","My eyes seem a bit yellowish now","There is a noticeable yellow color in my eyes","The whites of my eyes have a yellowish tint","I’m seeing a yellow color in my eyes","My eyes look a bit yellowish after a long day","My eyes have been getting yellow lately","There’s a yellowish tinge in my eyes when I blink","I can’t ignore the yellowing in my eyes","My eyes seem a bit off with this yellow tint","I’ve noticed the yellowing around my eye whites","The yellowing of my eyes makes me feel uneasy","I’ve seen my eyes gradually becoming yellow","I feel that my eyes are turning more yellow","My eyes look yellow when I take a close look","My eyes have started to turn yellow around the whites.","I can see a yellow tint in my eyes, especially in the whites.","There's a noticeable yellowing in my eyes.","I've been seeing yellowish discoloration in the whites of my eyes.","My eyes have started to look yellow, and it’s making me worried.","yellowing_of_eyes"
"I feel a sharp pain in my upper abdomen","I’m experiencing severe discomfort in my right side","My stomach is hurting badly, especially on the right side","I have intense abdominal pain that won’t go away","I’ve noticed my stomach pain is getting worse every day","I feel a lot of pain in my upper stomach area","There’s a constant pain on the right side of my abdomen","The pain in my stomach is unbearable and persistent","I have sharp pains in my upper abdomen that radiate","I’m feeling severe abdominal cramping on my right side","My stomach pain feels like a heavy pressure in the upper region","I’m experiencing excruciating pain in my stomach area","The pain in my upper abdomen feels very intense","I’ve had sharp stomach pains for several hours now","I feel a stabbing pain in my stomach","There is constant discomfort and pain in my upper stomach","The pain in my abdomen is so sharp, it makes it hard to breathe","I’m having severe stomach cramps that hurt a lot","I feel a deep, aching pain in my upper abdomen","The pain in my upper stomach is so strong it keeps me up at night","I feel sharp pains when I breathe deeply","I can’t seem to get rid of this horrible stomach pain","My abdominal pain has been intense for the last few days","I’m experiencing unbearable pain in my upper abdomen", "I’m experiencing symptoms that might point to liver failure, like fatigue and nausea.","I feel extremely weak and have developed jaundice, indicating liver issues.","My liver seems to be failing, with signs like swelling and jaundice.","I’m noticing severe fatigue, yellow skin, and abdominal pain, possibly from liver failure.","I’ve been feeling unwell with symptoms suggesting acute liver failure.","acute_liver_failure"
"My body feels swollen, especially around my ankles","I feel like there's extra fluid in my legs","My stomach is bloated, and it feels tight","I have noticeable swelling in my feet and hands","I can’t seem to get rid of the swelling in my legs","I’m experiencing puffiness in my face and body","I’m noticing fluid retention in my lower body","There’s a feeling of heaviness in my limbs due to swelling","My legs are retaining a lot of water, making them feel heavy","I feel like my body is holding on to too much fluid","I notice my ankles and feet are swollen at the end of the day","I feel bloated all over, especially in my abdomen","My arms and legs feel swollen, and it's uncomfortable","There’s an unusual swelling in my hands and feet","My body seems to be accumulating fluid, especially in my lower limbs","My skin feels stretched and tight due to fluid retention","I feel like I’m gaining weight rapidly due to water retention","I can feel swelling in my abdomen that makes me feel uncomfortable","The swelling in my body seems to get worse as the day goes on","I’ve been feeling extremely bloated and swollen for days","I’m noticing my legs are more swollen than usual","I feel like I’m retaining too much water, especially in my legs","I notice the swelling in my hands and feet has been persistent","Fluid seems to be building up in my body, making me uncomfortable","I feel as though my body is retaining more fluid than it should","I’ve noticed swelling in my legs, possibly due to fluid overload.","My body feels bloated, and there's too much fluid retention.","I’ve been experiencing fluid overload, making me feel heavy and swollen.","There’s visible swelling and discomfort in my body, likely from fluid overload.","I’ve been feeling bloated and uncomfortable due to fluid buildup in my body.","fluid_overload"
"My stomach feels bloated and swollen","I have an uncomfortable fullness in my stomach","My stomach feels tight, like it’s being stretched","I can feel my stomach is swollen, especially after eating","There’s a noticeable swelling in my abdomen","My stomach feels inflated and tight","I’m experiencing a swollen sensation in my stomach area","The bloating in my stomach makes me feel uneasy","I feel pressure in my stomach as if it’s too full","My stomach feels unnaturally large and swollen","I have difficulty moving because of the swelling in my stomach","My stomach seems to be swollen, causing discomfort","I feel a heaviness in my stomach as though it’s swollen","The swelling in my stomach is causing pain and discomfort","I’m noticing increased bloating and swelling in my stomach","My stomach feels unusually swollen after eating","I have a feeling of fullness and swelling in my stomach","My abdomen is bloated and swollen, making me uncomfortable","I feel as though my stomach is distended and swollen","I can feel my stomach area is more swollen than usual","I feel like my stomach is filled with gas and swollen","There’s noticeable swelling in my stomach that’s causing pain","I can’t seem to get rid of the swelling in my stomach","My stomach feels tight and distended from bloating","My stomach has been swelling up lately, causing discomfort.","I feel like my stomach is bloated and swollen.","I’ve been noticing an abnormal swelling in my stomach area.","There’s consistent swelling of my stomach, making me feel uneasy.","My stomach feels unusually swollen, and it’s causing discomfort.","I’m noticing a lot of swelling in my stomach area.","swelling_of_stomach"
"My lymph nodes feel swollen and tender","I can feel lumps in my neck from swollen lymph nodes","My lymph nodes are swollen and cause discomfort when touched","I noticed that my lymph nodes are enlarged and painful","The swelling in my lymph nodes is making my neck feel stiff","I have swollen lymph nodes that are hurting when I move","The lymph nodes in my armpit are swollen and sore","I can feel the swelling in my lymph nodes, especially in my neck","My lymph nodes are noticeably enlarged and sensitive","There is pain in my swollen lymph nodes when I press on them","I’m feeling discomfort in my swollen lymph nodes in my groin area","My swollen lymph nodes are making my throat feel tight","I can feel my swollen lymph nodes when I turn my head","The swelling in my lymph nodes is uncomfortable and painful","My lymph nodes are swollen, causing a sensation of pressure","I noticed some swelling in my lymph nodes under my jaw","The swollen lymph nodes in my neck are making it difficult to swallow","I feel pain in my swollen lymph nodes when I touch my neck","There’s noticeable swelling and pain in my lymph nodes","My lymph nodes are enlarged and causing me discomfort","The swelling in my lymph nodes has caused tenderness in my throat","I can feel lumps in my neck from swollen lymph nodes","My swollen lymph nodes make my skin feel sensitive to touch","The lymph nodes under my arms are swollen and painful","My lymph nodes are swollen and tender to the touch.","I’ve been feeling some swelling in my lymph nodes, especially around my neck.","There’s noticeable swelling in my lymph nodes, indicating possible infection.","My lymph nodes are swollen and painful, which is concerning.","My lymph nodes are swollen, and I can feel the tenderness when I touch them.","I have swollen lymph nodes around my neck, which are quite painful.","swelled_lymph_nodes"
"I feel an overall sense of unease and discomfort","I'm feeling weak and unwell, like something is off","My body feels tired and out of sorts","There’s a constant feeling of being unwell","I can’t shake off this feeling of discomfort","I feel drained and lacking energy","I have a general sense of being unwell and fatigued","I feel weak and rundown for no apparent reason","I’m constantly feeling under the weather","My energy is low and I feel unwell all the time","I feel off balance and physically drained","There's a general sense of malaise affecting my daily activities","I feel a lingering sense of fatigue and discomfort","I'm constantly tired and unmotivated","I have a feeling of being unwell that won't go away","I feel weak and it’s hard to focus or get through the day","I feel a constant sense of exhaustion and unease","I'm experiencing a feeling of being unwell without a specific cause","I have a sense of weakness and discomfort that’s persistent","I'm feeling constantly drained with no clear reason","There’s a general malaise that makes it hard to function","I'm feeling low and constantly fatigued","I feel unwell but can’t pinpoint exactly why","I feel like I have no energy and a general sense of illness","I’ve been feeling a general sense of malaise and fatigue.","There’s a feeling of malaise, like I’m not well but can’t pinpoint the cause.","I feel lethargic and unwell, like I have a malaise.","My body feels off and I’m experiencing constant malaise.","I’ve been feeling an overall sense of malaise, like I have no energy.","I feel constantly tired and unwell, as if something is off in my body.","malaise"
"My vision is blurry and I can't see clearly","I’m seeing things in a distorted way","Everything looks hazy and unclear","My sight is unclear and I feel like I’m seeing through a fog","I can't focus properly and my vision seems off","My vision keeps blurring and distorting","Things around me appear blurry and out of focus","I’m having trouble seeing clearly, and everything looks distorted","My eyes feel like they’re not focusing properly","I see double or blurry images when I look around","My vision seems warped and out of focus","I feel like my sight is clouded and unclear","There’s a constant blur in my vision","I’m seeing everything in a distorted way","My vision is out of focus and it’s hard to see clearly","I keep squinting but things still look blurry","I feel like my eyes are struggling to focus on anything","Everything looks hazy and unclear around me","My vision seems impaired and not as sharp as usual","I'm having difficulty seeing things clearly due to blurred vision","I feel like my vision is wobbly and unclear","My eyes are not focusing properly, making things look distorted","I see objects in a blurry and unclear way","There’s a distortion in how I perceive things around me","My vision seems blurred and distorted, making it hard to see clearly.","I’m experiencing some distortion in my vision, making it hard to focus.","There’s a constant blur and distortion in my eyesight.","I've been having trouble with my vision, it's blurry and distorted.","My vision has become blurry, and things appear distorted when I look at them.","I’m seeing things out of focus, and some shapes seem distorted in my view.","blurred_and_distorted_vision"
"I have a lot of phlegm in my throat","I’m coughing up phlegm","I feel like there’s thick phlegm stuck in my chest","My throat feels congested with phlegm","I can’t stop coughing up phlegm","There’s a lot of phlegm in my chest that I can’t clear","My breathing is obstructed by phlegm","I keep clearing my throat because of phlegm","I’m having trouble breathing because of excess phlegm","My throat is full of phlegm and it’s hard to swallow","I’m coughing up thick, sticky phlegm","There’s a constant build-up of phlegm in my throat","I feel like I’m always trying to clear phlegm from my throat","Phlegm keeps building up in my chest","I have difficulty breathing because of all the phlegm","I keep producing phlegm, and it’s hard to get rid of","My chest feels heavy with phlegm","I feel congested with phlegm in my airways","I’m constantly coughing to expel phlegm","My lungs feel heavy due to the phlegm","There’s a constant sensation of phlegm in my throat","I feel like I can’t get rid of the phlegm","I keep feeling like there’s something stuck in my chest due to phlegm","Phlegm is making it hard to breathe easily","I have a constant feeling of phlegm clogging my throat","I've been coughing up phlegm, especially in the mornings.","There’s a lot of thick phlegm in my throat that I can’t get rid of.","I’m noticing that I’m producing phlegm more than usual.","I’ve been clearing my throat frequently due to the buildup of phlegm.","I’m coughing up thick phlegm, which is hard to clear.","phlegm"
"My throat feels irritated","I have a scratchy feeling in my throat","There’s an uncomfortable irritation in my throat","My throat feels sore and irritated","I keep feeling a tickle in my throat","My throat is inflamed and causing discomfort","There’s a burning sensation in my throat","I have a constant feeling of throat irritation","My throat is irritated and it’s hard to swallow","I feel like something is scraping the back of my throat","I’m experiencing irritation in my throat that won’t go away","There’s a dry feeling in my throat from irritation","My throat feels raw from constant irritation","I have a sore throat that feels irritated","There’s a constant scratchy feeling in my throat","I keep clearing my throat because of irritation","My throat feels swollen and irritated","I feel a painful irritation in my throat when I swallow","The back of my throat feels irritated and uncomfortable","I have an itchy throat that’s causing irritation","My throat is dry and irritated from coughing","The irritation in my throat is making it difficult to talk","My throat feels sensitive and irritated","I feel a burning irritation every time I swallow","I have an itchy and irritated feeling in my throat","My throat feels irritated and scratchy, causing discomfort.","I’ve been dealing with irritation in my throat, which makes it sore.","I feel like there’s something stuck in my throat, causing irritation.","My throat has been irritated, making swallowing painful.","My throat feels scratchy and irritated, and I keep clearing it.","throat_irritation"
"My eyes are red and irritated","I have red patches in my eyes","My eyes feel bloodshot and red","There’s noticeable redness in my eyes","I’m experiencing redness in my eyes","My eyes look red and inflamed","I have red eyes and they feel itchy","There’s a red tint to my eyes","My eyes are swollen and red","The whites of my eyes are red","I’m dealing with red and sore eyes","My eyes feel tired and red","I notice my eyes are more red than usual","I’ve been having redness in my eyes","My eyes are red and uncomfortable","I woke up with red eyes","I have bloodshot eyes","My eyes are irritated and turning red","There’s redness in my eyes due to irritation","I have redness in both of my eyes","I’m seeing redness in my eyes after waking up","My eyes are burning and turning red","The redness in my eyes makes it hard to see clearly","My red eyes are making me uncomfortable","I have red eyes with a burning sensation","My eyes are red and irritated.","I have red patches in my eyes.","My eyes feel bloodshot and red.","There’s noticeable redness in my eyes.","My eyes are red and irritated, making it hard to keep them open.","redness_of_eyes"
"I feel a lot of pressure in my sinuses", "There is a constant pressure in my sinus area", "My face feels heavy due to sinus pressure", "I have a sensation of fullness in my sinuses", "I’m experiencing pressure around my nose and forehead", "My sinuses feel blocked and under pressure", "There’s a feeling of tightness in my sinus cavities", "I have pain and pressure in my sinuses", "The pressure in my sinuses is unbearable", "I feel a buildup of pressure in my sinuses", "My forehead and cheeks feel tense due to sinus pressure", "I’m dealing with a heavy sensation in my sinuses", "My sinuses feel congested and pressurized", "I’m noticing a dull pressure around my eyes and nose", "I feel discomfort from the pressure in my sinuses", "There’s a constant ache due to sinus pressure", "My sinuses feel like they are being squeezed", "The sinus pressure is affecting my ability to breathe","There’s a sensation of pressure and fullness in my nose", "My sinuses are blocked, and I feel the pressure", "The pressure in my sinuses is making me feel uncomfortable","I feel like my sinuses are swollen from the pressure","I’m experiencing sinus pressure that affects my hearing","My sinuses feel tight and painful","I feel a constant pressure around my nose and forehead.","My sinuses are really congested, causing a lot of pressure.","I have a heavy feeling in my sinuses, as if there’s a lot of pressure.","The pressure in my sinuses is making it hard to breathe.","I feel as though my head is being squeezed because of sinus pressure.","sinus_pressure"
